"Aktywny (0 lub 1)";"Nazwa";"Kategorie (x,y,z...)";"Cena zawiera podatek. (brutto)";"Opis";"Adresy URL zdjęcia (x,y,z...)";"Ilosc"
1;Spodnie Skinny fit;10$23$24;"79.99";"Spodnie z 5 kieszeniami ze spranego, bardzo elastycznego diagonalu. Normalna talia, rozporek na suwak i guzik. Obcisłe nogawki";"http://lp2.hm.com/hmgoepprod?set=source[/bd/62/bd626a973e6b9ade3b887db2a58647823a226cfc.jpg],origin[dam],category[ladies_jeans_skinny],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/f9/dd/f9dd3ff662c8ce494284b924abd0ab34feab027f.jpg],origin[dam],category[ladies_jeans_skinny],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/89/56/8956674d2a0610dd2f2f28c01222509d4f816bdc.jpg],origin[dam],category[ladies_jeans_skinny],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Golf o splocie w prążki;10$18$20;"99.9";"Nieco krótszy sweter o splocie w prążki z domieszką wełny. Golfowy kołnierz ze zrolowanym brzegiem, obniżone ramiona, zrolowany brzeg rękawów i u dołu swetra";"http://lp2.hm.com/hmgoepprod?set=source[/ea/42/ea42aa2c2939792b4aea77a26995cc994516fb42.jpg],origin[dam],category[ladies_cardigansjumpers_turtlenecks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/b8/09/b8093e525fdfd542796ab609a9c379a292f4dc1b.jpg],origin[dam],category[ladies_cardigansjumpers_turtlenecks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/97/c8/97c800f5ee6fa40aaeae1219e75a8c08cd9e2f4a.jpg],origin[dam],category[ladies_cardigansjumpers_turtlenecks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Filcowany płaszcz;10;"299.0";"Prosty płaszcz z filcu. Otwarte klapy, kryte zapięcie na zatrzaski, kieszenie po bokach. Z podszewką";"http://lp2.hm.com/hmgoepprod?set=source[/64/0b/640b8a36b69c55ed659b523df8e3664801487640.jpg],origin[dam],category[],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/f5/f6/f5f6843a9f6969c58e25b6ffb12222742c8bfcd9.jpg],origin[dam],category[],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/3b/47/3b4748227e2898268f30e8c20e0610daa70f07ce.jpg],origin[dam],category[],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Sweter z golfem;10$18$20;"129.9";"Pudełkowy sweter z golfowym kołnierzem. Mocno obniżone ramiona";"http://lp2.hm.com/hmgoepprod?set=source[/95/d2/95d2d676f05111a1f1b08e7eba4cfb15840b4a8d.jpg],origin[dam],category[ladies_cardigansjumpers_turtlenecks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/99/ff/99ff07be8ba568a6c479f6b756df4ac2a2cb9fd7.jpg],origin[dam],category[ladies_cardigansjumpers_turtlenecks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/c0/02/c002394094845be61328d9cff2eac4838bda413d.jpg],origin[dam],category[ladies_cardigansjumpers_turtlenecks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Sweter;10$18;"79.9";"Cienki sweter z miękkiej dzianiny. Nieco szerszy fason, obniżone ramiona. Ściągacz wokół szyi, rękawów i u dołu";"http://lp2.hm.com/hmgoepprod?set=source[/2b/16/2b16035c67da611aaca816f5b2894ea33f08b201.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/18/41/184148d0e08cd8f738da9e9b61ee6f66504cce3e.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/3f/5c/3f5cc38f0c696d33f2e33623338842978ada37ca.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Sweter z golfem;10;"129.9";"Cienki sweter z drapowanym golfowym kołnierzem. Swobodny fason, obniżone ramiona. Rękawy i dół ze ściągaczem";"http://lp2.hm.com/hmgoepprod?set=source[/99/b4/99b479a50b987ce77aae4df3f40f97af6c6fa975.jpg],origin[dam],category[ladies_knitwear_turtlenecks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/41/b7/41b7af1851cc5cd9436af05a37083522e95e01af.jpg],origin[dam],category[ladies_knitwear_turtlenecks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/23/76/2376e8476d806f7d7c6180af911257ec60a5a2e1.jpg],origin[dam],category[ladies_knitwear_turtlenecks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Top z długim rękawem;10$17;"39.9";"CONSCIOUS. Podkreślający figurę top z elastycznego dżerseju z ekologicznej bawełny. Długie rękawy, zaokrąglony dekolt";"http://lp2.hm.com/hmgoepprod?set=source[/f5/1e/f51e341c71e8eb2043ec706a68a36099c73bf95a.jpg],origin[dam],category[ladies_tops_longsleeve],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/58/8c/588c9cf3ab0be7d50d4a444ade357ca161d3ebaf.jpg],origin[dam],category[ladies_tops_longsleeve],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/67/1b/671b6ffe0428df86b9d820366cabc2404709dee1.jpg],origin[dam],category[ladies_tops_longsleeve],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Długa koszula bawełniana;10;"99.9";"Nieco dłuższa koszula z bawełnianej tkaniny. Kołnierzyk, kryte zapięcie, kieszonka na piersi, z tyłu karczek z zakładką. Długie rękawy z mankietem na guzik. Zaokrąglony dół z rozcięciami po bokach";"http://lp2.hm.com/hmgoepprod?set=source[/e2/20/e2205fcf05d1984ddc5a673752aa971e7ada33ad.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/52/09/520968cca9254611dee5dd1892b2e3164e280645.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/33/7c/337c96cbb234d26ddb98dfe677694118a9f049c3.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Sweter;10$18;"129.9";"Szeroki sweter z miękkiej dzianiny. Obniżone ramiona, nieco szersze rękawy, szeroki ściągacz wokół szyi, nieco dłuższy tył";"http://lp2.hm.com/hmgoepprod?set=source[/9f/b1/9fb14f5a0cfb0706d0898d7f7da3f8e7ca4b374a.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/87/ea/87ea6fa4a8bbb57c72d9ac12879b4dd1564c0599.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/3f/e7/3fe7d0454bcaad837a575839ac6646d687f8464f.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Spodnie Skinny fit;10$23$24;"79.99";"Spodnie z 5 kieszeniami ze spranego, bardzo elastycznego diagonalu. Normalna talia, rozporek na suwak i guzik. Obcisłe nogawki";"http://lp2.hm.com/hmgoepprod?set=source[/bd/62/bd626a973e6b9ade3b887db2a58647823a226cfc.jpg],origin[dam],category[ladies_jeans_skinny],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/f9/dd/f9dd3ff662c8ce494284b924abd0ab34feab027f.jpg],origin[dam],category[ladies_jeans_skinny],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/89/56/8956674d2a0610dd2f2f28c01222509d4f816bdc.jpg],origin[dam],category[ladies_jeans_skinny],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
