"Aktywny (0 lub 1)";"Nazwa";"Kategorie (x,y,z...)";"Cena zawiera podatek. (brutto)";"Opis";"Adresy URL zdjęcia (x,y,z...)";"Ilosc"
1;Sweter z golfem;10;"129.9";"Cienki sweter z drapowanym golfowym kołnierzem. Swobodny fason, obniżone ramiona. Rękawy i dół ze ściągaczem";"http://lp2.hm.com/hmgoepprod?set=source[/17/e6/17e64a5810a6bff4ecfbf63ed299f945f5a8aa7b.jpg],origin[dam],category[],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/57/13/571302d6fee92373bd2820e6a8a5f89fcd953ad7.jpg],origin[dam],category[],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/93/86/938606239644c0b4cfa84ee36b4218af7d87efa7.jpg],origin[dam],category[],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Sweter;10$18;"79.9";"Cienki sweter z miękkiej dzianiny. Nieco szerszy fason, obniżone ramiona. Ściągacz wokół szyi, rękawów i u dołu";"http://lp2.hm.com/hmgoepprod?set=source[/0c/c1/0cc14ab472a9f05f32b17d284540c1a3f3958950.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/df/2c/df2c5c0269fe87951363abd4ae37a1cad9b3a877.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/c5/5e/c55e4dd1d7a56b989e6d9698880b0559c371d75e.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Sweter z golfem;10$20$18;"129.9";"Pudełkowy sweter z golfowym kołnierzem. Mocno obniżone ramiona";"http://lp2.hm.com/hmgoepprod?set=source[/69/95/6995ecf25898feaf69c0d7be8c09283f4480ff08.jpg],origin[dam],category[ladies_cardigansjumpers_turtlenecks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/c9/eb/c9eb9cc8e4b74b7bd02f5a3f157039994f2f9b33.jpg],origin[dam],category[ladies_cardigansjumpers_turtlenecks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/13/8e/138e13d3b64fff1dc0ed22f6ca438baa66e32d8b.jpg],origin[dam],category[ladies_cardigansjumpers_turtlenecks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Bluzka z dekoltem w serek;10$17;"59.9";"Bluzka z cienkiej tkaniny we wzorzyste nadruki. Mała stójka, dekolt w serek, guziki u góry i kieszonka na piersi. Z tyłu karczek z marszczeniem i marszczenie na szwie ramienia. Długie rękawy z mankietem zapinanym na guzik. Zaokrąglony dół i nieco dłuższy tył";"http://lp2.hm.com/hmgoepprod?set=source[/f3/e4/f3e4910ad64676cf042a26917a918c304b1c1481.jpg],origin[dam],category[ladies_shirtsblouses_blouses],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/bc/e9/bce97950b27bb2a2fb406967b9fc7ce6afb47625.jpg],origin[dam],category[ladies_shirtsblouses_blouses],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/1b/6c/1b6cb3f5153f0e1d33023d1843b6caf0920ed5ff.jpg],origin[dam],category[ladies_shirtsblouses_blouses],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Bawełniana koszula;10$17;"59.9";"Koszula z bawełnianej tkaniny. Kołnierzyk, guziki z przodu, z tyłu karczek z kontrafałdą, długie rękawy z zapinanym mankietem. Zaokrąglony dół i nieco dłuższy tył";"http://lp2.hm.com/hmgoepprod?set=source[/77/fe/77fe8be1ebad2536bd1441e978f6e18d5941fb14.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/d3/0b/d30b553cdecd7b2d38c8862bec003f54a20b799a.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/4a/72/4a72afaa63cc9934d920a81d8848e47bb0114949.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Sweter z odkrytymi ramionami;10$20$18;"79.9";"CONSCIOUS. Cienki sweter z miękkiego poliestru pochodzącego częściowo z recyklingu. Odkryte ramiona z szerokim ściągaczem, szerokie reglanowe rękawy. Prosty dół";"http://lp2.hm.com/hmgoepprod?set=source[/d3/0d/d30dd3b1a878f6443e577c4379a49097f7cc6dfa.jpg],origin[dam],category[ladies_knitwear_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/9a/e1/9ae16c0af3c971df6fe8439fc98e7906c9940e00.jpg],origin[dam],category[ladies_knitwear_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/70/7d/707d87e55ada4ff260b68e105f9277560139ab0b.jpg],origin[dam],category[ladies_knitwear_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Bluzka z krepy;10$15;"59.9";"Bluzka z krepowanej wiskozowej tkaniny z krótkim rękawem. Okrągły dekolt, na karku rozcięcie z krytym guzikiem. Zaokrąglony dół i nieco dłuższy tył";"http://lp2.hm.com/hmgoepprod?set=source[/61/9d/619dc88c90251d3b7214f0a61aff635950bc4079.jpg],origin[dam],category[ladies_tops_shortsleeve],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/87/e6/87e6bdbf263aceadabb3f0e499a64e92e1696fef.jpg],origin[dam],category[ladies_tops_shortsleeve],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/9f/96/9f9644e91b5b8b6179e1a4639a33736d4d83a366.jpg],origin[dam],category[ladies_tops_shortsleeve],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Długa marynarka;10$21$22;"129.9";"Prosta marynarka z tkaniny. Zaokrąglone klapy, z przodu kryty zatrzask, z boku kieszenie, rozcięcie z tyłu. Bez podszewki";"http://lp2.hm.com/hmgoepprod?set=source[/c6/04/c60495e3000841dad39c6b50e9a0e6689a5ae44f.jpg],origin[dam],category[ladies_jacketscoats_coats],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/e5/03/e503e517dc9fe3040641cdafeed024f4ca804ba5.jpg],origin[dam],category[ladies_jacketscoats_coats],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/43/92/43926241dab8c0403e9745460b766f2ea9141237.jpg],origin[dam],category[ladies_jacketscoats_coats],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Torebka na ramię;10$30;"39.9";"Torebka z wytłaczanej imitacji skóry. Klapka z magnetycznym zapięciem i wąski pasek na ramię. Z podszewką. Wymiary 4x16x23 cm";"http://lp2.hm.com/hmgoepprod?set=source[/e8/ed/e8eda76bd6b5d4de03aa6d13154f2c9412ccedb9.jpg],origin[dam],category[ladies_bags_shouldercross],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/49/ed/49edab8c9c7c64fa29a21789bf965bf731beab14.jpg],origin[dam],category[ladies_bags_shouldercross],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/e5/a3/e5a34e2fb68edd13dfab0557a358e9fbe867b967.jpg],origin[dam],category[ladies_bags_shouldercross],type[DESCRIPTIVEDETAIL],hmver[1]&call=url[file:/product/main";100
1;Wide High Ankle Jeans;10;"129.9";"CONSCIOUS. Szerokie dżinsy z 5 kieszeniami ze spranego denimu. Wysoka talia, rozporek na suwak i guzik, proste nogawki do kostki z rozszerzanym dołem. Dżinsy wykonano częściowo z bawełny pochodzącej z recyklingu";"http://lp2.hm.com/hmgoepprod?set=source[/78/2a/782ac6fc493f3ed8da51b7d85f5fa6d70d2dc6aa.jpg],origin[dam],category[ladies_jeans_highwaisted],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/74/0d/740d6a112aee1bc168a70cdaf07861d226ba5984.jpg],origin[dam],category[ladies_jeans_highwaisted],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/ba/a3/baa3a016099dc254ac4f537b1933d4bf2d7388f6.jpg],origin[dam],category[ladies_jeans_highwaisted],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
