Identyfikator Produktu (ID);Atrybut (Nazwa:Typ:Pozycja);Wartość (Wartość:Pozycja)
21;Rozmiar:rozmiar:0; 46:0
21;Rozmiar:rozmiar:0; 48:0
21;Rozmiar:rozmiar:0; 50:0
22;Rozmiar:rozmiar:0; L:0
22;Rozmiar:rozmiar:0; M:0
22;Rozmiar:rozmiar:0; S:0
22;Rozmiar:rozmiar:0; XL:0
22;Rozmiar:rozmiar:0; XS:0
23;Rozmiar:rozmiar:0; L:0
23;Rozmiar:rozmiar:0; M:0
23;Rozmiar:rozmiar:0; S:0
23;Rozmiar:rozmiar:0; XL:0
23;Rozmiar:rozmiar:0; XS:0
24;Rozmiar:rozmiar:0; 32:0
24;Rozmiar:rozmiar:0; 34:0
24;Rozmiar:rozmiar:0; 36:0
24;Rozmiar:rozmiar:0; 38:0
24;Rozmiar:rozmiar:0; 40:0
24;Rozmiar:rozmiar:0; 42:0
24;Rozmiar:rozmiar:0; 44:0
24;Rozmiar:rozmiar:0; 46:0
24;Rozmiar:rozmiar:0; 48:0
24;Rozmiar:rozmiar:0; 50:0
25;Rozmiar:rozmiar:0; 32:0
25;Rozmiar:rozmiar:0; 34:0
25;Rozmiar:rozmiar:0; 36:0
25;Rozmiar:rozmiar:0; 38:0
25;Rozmiar:rozmiar:0; 40:0
25;Rozmiar:rozmiar:0; 42:0
25;Rozmiar:rozmiar:0; 44:0
25;Rozmiar:rozmiar:0; 46:0
25;Rozmiar:rozmiar:0; 48:0
25;Rozmiar:rozmiar:0; 50:0
26;Rozmiar:rozmiar:0; 32:0
26;Rozmiar:rozmiar:0; 34:0
26;Rozmiar:rozmiar:0; 36:0
26;Rozmiar:rozmiar:0; 38:0
26;Rozmiar:rozmiar:0; 40:0
26;Rozmiar:rozmiar:0; 42:0
26;Rozmiar:rozmiar:0; 44:0
26;Rozmiar:rozmiar:0; 46:0
26;Rozmiar:rozmiar:0; 48:0
26;Rozmiar:rozmiar:0; 50:0
27;Rozmiar:rozmiar:0; 32:0
27;Rozmiar:rozmiar:0; 34:0
27;Rozmiar:rozmiar:0; 36:0
27;Rozmiar:rozmiar:0; 38:0
27;Rozmiar:rozmiar:0; 40:0
27;Rozmiar:rozmiar:0; 42:0
27;Rozmiar:rozmiar:0; 44:0
27;Rozmiar:rozmiar:0; 46:0
27;Rozmiar:rozmiar:0; 48:0
27;Rozmiar:rozmiar:0; 50:0
28;Rozmiar:rozmiar:0; 32:0
28;Rozmiar:rozmiar:0; 34:0
28;Rozmiar:rozmiar:0; 36:0
28;Rozmiar:rozmiar:0; 38:0
28;Rozmiar:rozmiar:0; 40:0
28;Rozmiar:rozmiar:0; 42:0
28;Rozmiar:rozmiar:0; 44:0
28;Rozmiar:rozmiar:0; 46:0
28;Rozmiar:rozmiar:0; 48:0
28;Rozmiar:rozmiar:0; 50:0
29;Rozmiar:rozmiar:0; L:0
29;Rozmiar:rozmiar:0; M:0
29;Rozmiar:rozmiar:0; S:0
29;Rozmiar:rozmiar:0; XL:0
29;Rozmiar:rozmiar:0; XS:0
