"Aktywny (0 lub 1)";"Nazwa";"Kategorie (x,y,z...)";"Cena zawiera podatek. (brutto)";"Opis";"Adresy URL zdjęcia (x,y,z...)";"Ilosc"
1;Bawełniana koszula;10;"79.9";"Koszula z elastycznej tkaniny bawełnianej. Klasyczne zapięcie z przodu, z tyłu karczek z kontrafałdą. Długie rękawy z zapinanym mankietem. Zaokrąglony dół";"http://lp2.hm.com/hmgoepprod?set=source[/8c/a5/8ca546f0037703be7b20d510b98881bc6003b9f0.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],hmver[3]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/99/43/994337f50b80a4b1bb2869864f287a9b09700af6.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],hmver[3]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/52/06/520652562d4626015d608d87d9882abe359d7a19.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],hmver[3]&call=url[file:/product/fullscreen";100
1;Satynowy top;10$21;"99.9";"Satynowy top z koronką u góry. Wąskie, regulowane ramiączka. Szeroki fason";"http://lp2.hm.com/hmgoepprod?set=source[/fe/1e/fe1ed2ba3c68a94f53d4b91dfc17c81b77e2d587.jpg],origin[dam],category[ladies_tops_vests],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/0a/ff/0aff3b2f452b638c39338458b4039e3f860c0136.jpg],origin[dam],category[ladies_tops_vests],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/dc/49/dc49805ea465c0ed9dcd571247741fa447e68af7.jpg],origin[dam],category[ladies_tops_vests],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen";100
1;Długa sukienka szyfonowa;10;"279.0";"Długa sukienka z mocowaniem na szyi z cienkiego szyfonu z detalami z koralików. Na karku rozcięcie z krytym guzikiem. Odcinana talia, elastyczny tył, z przodu tasiemka z koralików i cekinów. Z podszewką";"http://lp2.hm.com/hmgoepprod?set=source[/03/12/03121be44f25f717b60d0969f085ed5720db6112.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/01/7e/017ea290dff0945d5ec324905c1a6fc1b85dee97.jpg],origin[dam],category[ladies_dresses_maxidresses],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/4d/81/4d81560b233baf1c753a077ee0d005e486a60262.jpg],origin[dam],category[ladies_dresses_maxidresses],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen";100
1;Spodnie w stylu motocyklowym;10;"149.9";"Spodnie z 5 kieszeniami z elastycznego bawełnianego diagonalu. Niska talia, rozporek na suwak i kryty guzik. Wąskie nogawki z ozdobnymi szwami i suwakami";"http://lp2.hm.com/hmprod?set=source[/environment/2017/9HZ_0234_014R.jpg],width[3914],height[4576],y[-1],type[FASHION_FRONT]&hmver=0&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmprod?set=source[/model/2017/F00 0503010 003 55 1639.jpg],type[STILLLIFE_FRONT]&hmver=1&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmprod?set=source[/model/2017/F00 0503010 003 55 1640.jpg],type[STILLLIFE_BACK]&hmver=1&call=url[file:/product/fullscreen";100
1;Koronkowe szorty;10$25;"79.9";"Krótkie koronkowe szorty. Elastyczna talia ze sznurkiem i falisty brzeg nogawek. Z dżersejową podszewką";"http://lp2.hm.com/hmgoepprod?set=source[/81/ec/81ecba64436f843bdd80597e350dfeef70cbc620.jpg],origin[dam],category[ladies_shorts],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/70/15/7015a1a0bdc109ab81076a2880d744f14cc1fd0d.jpg],origin[dam],category[ladies_shorts],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/4e/47/4e4718a20d132df2307bd71cb1b35f6c3176062b.jpg],origin[dam],category[ladies_shorts],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen";100
1;Spodnie culottes z krepy;10;"59.9";"Spodnie z krepowanej tkaniny. Elastyczna talia, nieco krótsze szerokie nogawki i kieszenie po bokach";"http://lp2.hm.com/hmgoepprod?set=source[/d9/79/d9793e459064b1292282810a5d8f5a32c3e6818f.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/20/75/207536dc927145547163df2ff6928a08cde44e41.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/16/23/16232189c0d988c6a48d999c986228602fb21a5f.jpg],origin[dam],category[ladies_trousers_loose],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen";100
1;Elastyczne spodnie;10$24$23;"139.9";"Spodnie z 5 kieszeniami ze spranego, elastycznego diagonalu. Niska talia, rozporek na suwak i guzik. Bardzo wąskie nogawki z suwakiem u dołu";"http://lp2.hm.com/hmgoepprod?set=source[/f3/9c/f39cdb1eb7fc76acead799f9f646d2fd52b39662.jpg],origin[dam],category[ladies_jeans_slim],type[DESCRIPTIVESTILLLIFE],hmver[4]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmprod?set=source[/model/2017/F00 0533746 001 55 2439.jpg],width[2432],height[2844],x[-268],type[DETAIL]&hmver=1&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/94/ae/94ae9ea0a504e62eacda0f7f909f431d88476bb8.jpg],origin[dam],category[ladies_jeans_slim],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen";100
1;Kurtka cargo z lyocellu;10;"139.9";"CONSCIOUS. Tkaninowa kurtka z lyocellu Tencel®. Niska stójka, ozdobne patki na ramionach, z przodu kryte zapięcie. Na piersi kieszenie z klapką i kontrafałdą, naszyte kieszenie. Sznurek w talii. Bez podszewki";"http://lp2.hm.com/hmprod?set=source[/environment/2016/7KZ_0090_012R.jpg],width[3433],height[4014],x[845],y[400],type[FASHION_FRONT]&hmver=0&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmprod?set=source[/model/2016/D00 0416041 002 33 4934.jpg],type[STILLLIFE_FRONT]&hmver=1&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmprod?set=source[/model/2016/D00 0416041 002 33 4934.jpg],width[1412],height[1651],x[881],y[1802],type[DETAIL]&hmver=1&call=url[file:/product/fullscreen";100
1;Sweter o wzorzystym splocie;10$20$18;"59.9";"Nieco szerszy sweter z miękkiej dzianiny o wzorzystym splocie.Szeroki ściągacz wokół szyi, rękawów i u dołu";"http://lp2.hm.com/hmgoepprod?set=source[/5e/65/5e65961ea090ed2d5f25e23f44e11e50a3d4f089.jpg],origin[dam],category[ladies_knitwear_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/38/3d/383d9340dc0c87ad64a5d4e51b71e793fbdd2f37.jpg],origin[dam],category[ladies_knitwear_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/5b/f6/5bf622e2c42feb01ebc07be4232608713ee76f69.jpg],origin[dam],category[ladies_knitwear_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen";100
1;Ocieplana parka;10$22$21;"199.0";"Krótka parka z bawełnianej tkaniny. Kaptur z odpinanym obszyciem z imitacji futra i z podszewką. Zapięcie na suwak i listwę z krytymi zatrzaskami. Sznurek w talii i u dołu. Z przodu kieszenie z kontrafałdą, klapką i zatrzaskiem. U dołu rękawów patka z zatrzaskiem, z tyłu rozcięcie. Z podszewką z futerkowego materiału";"http://lp2.hm.com/hmgoepprod?set=source[/58/96/5896398a1cbd2bc9a5a30b4eb0c0fc5f1358e2c5.jpg],origin[dam],category[ladies_jacketscoats_parkas],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/bb/9c/bb9cce08a27ef3d132422ed0c9c34a7707cee0e3.jpg],origin[dam],category[ladies_jacketscoats_parkas],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/b5/cf/b5cf814d2d65eebae557f14f9bfb5e99e2cf7311.jpg],origin[dam],category[ladies_jacketscoats_parkas],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen";100
